"account_id";"account_currency";"exclude from invoice";"tap_code";"Tap name";"Discount (%)";"Markup (%)";"Account name";"Remove Discount for bill cycle";"Comments"
"109,351,305";"EUR";;"MEXMS";;;"1";"Telit Wireless Solutions";;;
"109,351,305";"EUR";;"NLDPT";;;"0.75";"Telit Wireless Solutions";;;
"109,351,305";"EUR";;"NORNC";;;"0.4583333333333333";"Telit Wireless Solutions";;;
"109,351,305";"EUR";;"SWETR";;;"0.4583333333333333";"Telit Wireless Solutions";;;
"109,351,305";"EUR";;"SWEHU";;;"0.8333333333333333";"Telit Wireless Solutions";;;
"109,351,305";"EUR";;"GBRME";;;"1.083333333333333";"Telit Wireless Solutions";;;
"109,351,305";"EUR";;"GBRHU";;;"0.8333333333333333";"Telit Wireless Solutions";;;
"109,351,305";"EUR";;"USA44";;;"0.8333333333333333";"Telit Wireless Solutions";;;
"109,351,305";"EUR";;"BELMO";;;"0.166666666666667";"Telit Wireless Solutions";;;
"109,351,305";"EUR";;"CZEET";;;"0.5";"Telit Wireless Solutions";;;
"109,351,305";"EUR";;"ESTEM";;;"0.458333333333333";"Telit Wireless Solutions";;;
"109,351,305";"EUR";;"FINTF";;;"0.458333333333333";"Telit Wireless Solutions";;;
"109,351,305";"EUR";;"HUNH1";;;"0.5";"Telit Wireless Solutions";;;
"109,351,305";"EUR";;"ISRMS";;;"0.416666666666667";"Telit Wireless Solutions";;;
"109,351,305";"EUR";;"LTUOM";;;"0.458333333333333";"Telit Wireless Solutions";;;
"109,351,305";"EUR";;"LUXVM";;;"0.166666666666667";"Telit Wireless Solutions";;;
"109,351,305";"EUR";;"MDAVX";;;"0.166666666666667";"Telit Wireless Solutions";;;
"109,351,305";"EUR";;"ROMMR";;;"0.166666666666667";"Telit Wireless Solutions";;;
"109,351,305";"EUR";;"SVKGT";;;"0.166666666666667";"Telit Wireless Solutions";;;
"125,180,206";"EUR";;;;"1";"1";"VTM IoT B.V";;"Special setup with 0.07€/billable SIM";
"186,663,806";"SEK";;;;;"0.9230769230769231";"OK-Q8 AB";;;
"231,314,505";"EUR";"YES";;;;"1";"13T LIMITED";;;
"111,537,705";"SEK";"YES";;;;"1";"2ma Technology AB";;;
"220,546,405";"EUR";"YES";;;;"1";"9Solutions Oy";;;
